num_players,hero_overall_win_probability,Flush_freq,Flush_hand_and_win,Flush_win_given,Four_of_a_Kind_freq,Four_of_a_Kind_hand_and_win,Four_of_a_Kind_win_given,Full_House_freq,Full_House_hand_and_win,Full_House_win_given,High_Card_freq,High_Card_hand_and_win,High_Card_win_given,One_Pair_freq,One_Pair_hand_and_win,One_Pair_win_given,Royal_Flush_freq,Royal_Flush_hand_and_win,Royal_Flush_win_given,Straight_Flush_freq,Straight_Flush_hand_and_win,Straight_Flush_win_given,Straight_freq,Straight_hand_and_win,Straight_win_given,Three_of_a_Kind_freq,Three_of_a_Kind_hand_and_win,Three_of_a_Kind_win_given,Two_Pair_freq,Two_Pair_hand_and_win,Two_Pair_win_given
2,0.50303,0.03048,0.02644,0.8674540682414699,0.00144,0.00132,0.9166666666666666,0.02624,0.02409,0.9180640243902439,0.1731,0.02923,0.16886192952050838,0.44278,0.18956,0.42811328424951445,6e-05,5e-05,0.8333333333333334,0.00024,0.00024,1.0,0.04632,0.04069,0.8784542314335061,0.04836,0.03618,0.7481389578163772,0.23098,0.15523,0.6720495280976708
3,0.3365433333333353,0.03122,0.024300000000000006,0.778347213324792,0.0016,0.0014533333333333332,0.9083333333333332,0.0268,0.02261666666666667,0.843905472636816,0.17238,0.007176666666666666,0.0416328267007,0.4394,0.09950999999999999,0.22646791078743736,2e-05,2e-05,1.0,0.00024,0.00024,1.0,0.04584,0.0349266666666666,0.761925538103547,0.0471,0.03095333333333333,0.6571832979476291,0.2354,0.11534666666666646,0.49000283205890593
4,0.24980000000000022,0.02946,0.020975,0.7119823489477257,0.00172,0.001535,0.8924418604651163,0.02642,0.02033,0.7694928084784254,0.1743,0.0012566666666666668,0.007209791547140945,0.43722,0.059280000000000006,0.13558391656374366,0.0,0.0,0.0,0.0003,0.0003,1.0,0.04626,0.03305333333333332,0.7145121775471968,0.0474,0.02713,0.5723628691983123,0.23692,0.08594,0.3627384771230795
5,0.1974010000000001,0.02978,0.01925600000000001,0.6466084620550708,0.0018,0.0016020000000000001,0.8900000000000001,0.02692,0.01919600000000001,0.7130757800891535,0.17344,0.00032333333333333335,0.0018642373923739239,0.43952,0.04027466666666667,0.09163329692998423,4e-05,4e-05,1.0,0.00018,0.00016399999999999997,0.911111111111111,0.04602,0.028900000000000012,0.6279878313776622,0.0452,0.023388000000000003,0.5174336283185841,0.2371,0.06425700000000002,0.2710122311261072
6,0.16542666666666667,0.02958,0.017696666666666666,0.5982645931935993,0.00192,0.00179,0.9322916666666666,0.02554,0.018196666666666663,0.712477160010441,0.17422,0.00014666666666666666,0.0008418474725442926,0.43708,0.02644,0.06049235837832891,0.0,0.0,0.0,0.00042,0.0004033333333333333,0.9603174603174602,0.04672,0.02783333333333334,0.5957477168949773,0.04812,0.02304,0.47880299251870323,0.2364,0.04988,0.21099830795262267
7,0.14260999999999954,0.03076,0.017551428571428572,0.5705926063533345,0.00184,0.0015728571428571428,0.8548136645962733,0.02492,0.016823333333333336,0.6750936329588015,0.17744,3e-05,0.00016907123534715962,0.43646,0.018813333333333335,0.043104370007178976,2e-05,2e-05,1.0,0.00034,0.00034,1.0,0.04688,0.025708571428571407,0.548391028766455,0.0479,0.02151523809523809,0.4491698976041355,0.23344,0.04023523809523807,0.17235794249159556
8,0.12364499999999982,0.02906,0.0157375,0.5415519614590503,0.00164,0.001466666666666667,0.894308943089431,0.02652,0.017096666666666666,0.6446706887883359,0.17516,0.0,0.0,0.4386,0.013093333333333335,0.029852561179510566,4e-05,4e-05,1.0,0.00034,0.0003025,0.8897058823529411,0.04622,0.02434999999999999,0.5268282128948505,0.04816,0.019185,0.39835963455149503,0.23426,0.03237333333333332,0.13819402942599388
9,0.11221611111111113,0.03092,0.015228888888888887,0.4925255138709213,0.00192,0.0016722222222222223,0.8709490740740741,0.02598,0.015602222222222222,0.6005474296467368,0.17218,0.0,0.0,0.4361,0.010163333333333333,0.02330505235802186,6e-05,4.222222222222222e-05,0.7037037037037037,0.00032,0.0003,0.9375,0.04584,0.02199277777777778,0.479772639131278,0.04954,0.019436666666666668,0.39234288790203203,0.23714,0.027777777777777773,0.1171366187812169
