num_players,hand_type,hero_hand_probability,hero_win_given_type_probability,hero_hand_and_win_probability,hero_overall_win_probability
2,High Card,0.17628,0.17676423871114136,0.03116,0.49904
2,One Pair,0.43544,0.420011941943781,0.18289,0.49904
2,Two Pair,0.23526,0.6682393947122333,0.15721,0.49904
2,Three of a Kind,0.04806,0.7517686225551394,0.03613,0.49904
2,Straight,0.04672,0.8595890410958904,0.04016,0.49904
2,Flush,0.03028,0.8642668428005285,0.02617,0.49904
2,Full House,0.02602,0.9035357417371253,0.02351,0.49904
2,Four of a Kind,0.00166,0.9397590361445783,0.00156,0.49904
2,Straight Flush,0.00026,0.8846153846153846,0.00023,0.49904
2,Royal Flush,2e-05,1.0,2e-05,0.49904
3,High Card,0.17408,0.03582643995098039,0.006236666666666666,0.33536333333333535
3,One Pair,0.43602,0.22698500068804187,0.09897000000000002,0.33536333333333535
3,Two Pair,0.23726,0.4881143049818762,0.11580999999999994,0.33536333333333535
3,Three of a Kind,0.0488,0.6545081967213114,0.03194,0.33536333333333535
3,Straight,0.04706,0.7800679983000409,0.03670999999999993,0.33536333333333535
3,Flush,0.0297,0.771717171717172,0.02292000000000001,0.33536333333333535
3,Full House,0.0253,0.83201581027668,0.021050000000000006,0.33536333333333535
3,Four of a Kind,0.0015,0.9644444444444445,0.0014466666666666668,0.33536333333333535
3,Straight Flush,0.00022,1.0,0.00022,0.33536333333333535
3,Royal Flush,6e-05,1.0,6e-05,0.33536333333333535
4,High Card,0.174,0.008362068965517241,0.001455,0.25046833333333357
4,One Pair,0.43966,0.14062760618053347,0.06182833333333334,0.25046833333333357
4,Two Pair,0.23518,0.3616095472971058,0.08504333333333335,0.25046833333333357
4,Three of a Kind,0.04852,0.5571585600439681,0.027033333333333336,0.25046833333333357
4,Straight,0.04464,0.7152404420549581,0.03192833333333333,0.25046833333333357
4,Flush,0.02988,0.6907630522088354,0.02064,0.25046833333333357
4,Full House,0.02632,0.7948328267477204,0.02092,0.25046833333333357
4,Four of a Kind,0.00148,0.8783783783783784,0.0013,0.25046833333333357
4,Straight Flush,0.00032,1.0,0.00032,0.25046833333333357
4,Royal Flush,0.0,0.0,0.0,0.25046833333333357
5,High Card,0.17794,0.001629762841407216,0.00029,0.1983956666666666
5,One Pair,0.43618,0.08642609320311186,0.037697333333333326,0.1983956666666666
5,Two Pair,0.23578,0.27931546356773257,0.06585699999999998,0.1983956666666666
5,Three of a Kind,0.04914,0.5265092931759598,0.025872666666666665,0.1983956666666666
5,Straight,0.04528,0.6611749116607781,0.029938000000000034,0.1983956666666666
5,Flush,0.02886,0.6577962577962582,0.01898400000000001,0.1983956666666666
5,Full House,0.02504,0.7321884984025563,0.01833400000000001,0.1983956666666666
5,Four of a Kind,0.0014,0.7961904761904763,0.0011146666666666668,0.1983956666666666
5,Straight Flush,0.00036,0.7999999999999999,0.00028799999999999995,0.1983956666666666
5,Royal Flush,2e-05,1.0,2e-05,0.1983956666666666
6,High Card,0.17778,0.0009562380470244122,0.00017,0.16660000000000003
6,One Pair,0.4355,0.06338308457711445,0.02760333333333334,0.16660000000000003
6,Two Pair,0.23484,0.21861693067620516,0.05134000000000002,0.16660000000000003
6,Three of a Kind,0.04806,0.4854348730753225,0.02333,0.16660000000000003
6,Straight,0.04578,0.6051405271588756,0.027703333333333326,0.16660000000000003
6,Flush,0.03066,0.5675146771037182,0.0174,0.16660000000000003
6,Full House,0.02554,0.6832419733750976,0.017449999999999993,0.16660000000000003
6,Four of a Kind,0.00168,0.859126984126984,0.0014433333333333331,0.16660000000000003
6,Straight Flush,8e-05,1.0,8e-05,0.16660000000000003
6,Royal Flush,8e-05,1.0,8e-05,0.16660000000000003
7,High Card,0.17388,0.00011502185415228893,2e-05,0.14412738095238042
7,One Pair,0.4412,0.04610316021240773,0.02034071428571429,0.14412738095238042
7,Two Pair,0.23286,0.17704997484693422,0.0412278571428571,0.14412738095238042
7,Three of a Kind,0.04906,0.44896433909886824,0.022026190476190477,0.14412738095238042
7,Straight,0.04704,0.5549532312925163,0.02610499999999997,0.14412738095238042
7,Flush,0.0292,0.5465753424657535,0.01596,0.14412738095238042
7,Full House,0.02498,0.6759312211674101,0.016884761904761906,0.14412738095238042
7,Four of a Kind,0.00162,0.8783068783068783,0.0014228571428571428,0.14412738095238042
7,Straight Flush,0.00016,0.875,0.00014,0.14412738095238042
7,Royal Flush,0.0,0.0,0.0,0.14412738095238042
8,High Card,0.17096,0.0001169864295741694,2e-05,0.12630833333333302
8,One Pair,0.43616,0.030965318537539744,0.013505833333333335,0.12630833333333302
8,Two Pair,0.23778,0.14255474247904218,0.03389666666666665,0.12630833333333302
8,Three of a Kind,0.05008,0.4058672790202343,0.02032583333333333,0.12630833333333302
8,Straight,0.04644,0.5165446454206143,0.023988333333333327,0.12630833333333302
8,Flush,0.03048,0.5167322834645669,0.01575,0.12630833333333302
8,Full House,0.02584,0.6485745614035088,0.01675916666666667,0.12630833333333302
8,Four of a Kind,0.00196,0.9094387755102041,0.0017825,0.12630833333333302
8,Straight Flush,0.00022,0.9090909090909091,0.0002,0.12630833333333302
8,Royal Flush,8e-05,1.0,8e-05,0.12630833333333302
9,High Card,0.17514,0.0,0.0,0.11016722222222221
9,One Pair,0.43708,0.023283304353131386,0.010176666666666665,0.11016722222222221
9,Two Pair,0.23482,0.11393596986817321,0.026754444444444435,0.11016722222222221
9,Three of a Kind,0.04908,0.37775061124694376,0.01854,0.11016722222222221
9,Straight,0.04572,0.4803271118887918,0.02196055555555556,0.11016722222222221
9,Flush,0.0296,0.4954204204204204,0.014664444444444443,0.11016722222222221
9,Full House,0.02662,0.6126554804240755,0.01630888888888889,0.11016722222222221
9,Four of a Kind,0.00158,0.9113924050632911,0.00144,0.11016722222222221
9,Straight Flush,0.00034,0.8888888888888888,0.0003022222222222222,0.11016722222222221
9,Royal Flush,2e-05,1.0,2e-05,0.11016722222222221
