num_players,hand_type,hero_hand_probability,hero_win_given_type_probability,hero_hand_and_win_probability,hero_overall_win_probability
5,Faux Flush,0.06802,0.11506909732431618,0.007826999999999987,0.20074066666666882
5,Mirror Hand,0.19444,0.1629448673112527,0.031682999999999975,0.20074066666666882
5,Color Disassociate,0.0541,0.34235366605052603,0.018521333333333456,0.20074066666666882
5,Gap,0.02314,0.43111495246326637,0.009975999999999983,0.20074066666666882
5,Almost Full House,0.06644,0.409667870760591,0.027218333333333667,0.20074066666666882
5,Color Clash,0.15166,0.5799024132928907,0.0879479999999998,0.20074066666666882
5,Dead Royal,0.0062,0.8207526881720426,0.005088666666666664,0.20074066666666882
5,Perfect Misdeal,4e-05,1.0,4e-05,0.20074066666666882
6,Low Card,0.25322,0.0029881789221493826,0.0007566666666666667,0.16748833333333124
6,Broken Pair,0.1904,0.035789565826330506,0.0068143333333333285,0.16748833333333124
6,Faux Flush,0.06568,0.07244214372716205,0.0047580000000000035,0.16748833333333124
6,Mirror Hand,0.19186,0.12054101949338106,0.02312700000000009,0.16748833333333124
6,Color Disassociate,0.054,0.28399382716049426,0.015335666666666692,0.16748833333333124
6,Gap,0.02384,0.3745246085011185,0.008928666666666666,0.16748833333333124
6,Almost Full House,0.0666,0.36529029029029036,0.02432833333333334,0.16748833333333124
6,Color Clash,0.149,0.5305346756152169,0.07904966666666732,0.16748833333333124
6,Dead Royal,0.0054,0.8129629629629628,0.004389999999999999,0.16748833333333124
6,Perfect Misdeal,0.0,0.0,0.0,0.16748833333333124
7,Low Card,0.25132,0.0011823287328619164,0.0002971428571428568,0.1427272857142775
7,Broken Pair,0.18756,0.024418598746813756,0.0045799523809523885,0.1427272857142775
7,Faux Flush,0.06688,0.05265436318067899,0.0035215238095238108,0.1427272857142775
7,Mirror Hand,0.1915,0.08594653736168134,0.016458761904761976,0.1427272857142775
7,Color Disassociate,0.05532,0.2224641049478364,0.012306714285714308,0.1427272857142775
7,Gap,0.02234,0.29042503303917805,0.006488095238095237,0.1427272857142775
7,Almost Full House,0.068,0.30862394957983014,0.02098642857142845,0.1427272857142775
7,Color Clash,0.15138,0.488119459700922,0.07389152380952557,0.1427272857142775
7,Dead Royal,0.0057,0.7363408521303261,0.0041971428571428585,0.1427272857142775
7,Perfect Misdeal,0.0,0.0,0.0,0.1427272857142775
8,Low Card,0.24732,0.0005155264434740418,0.0001275,0.12697054761904272
8,Broken Pair,0.19094,0.015540658496560862,0.0029673333333333314,0.12697054761904272
8,Faux Flush,0.06818,0.028146083895570544,0.0019189999999999997,0.12697054761904272
8,Mirror Hand,0.19036,0.06411986311650103,0.012205857142857135,0.12697054761904272
8,Color Disassociate,0.05518,0.183208633217694,0.010109452380952356,0.12697054761904272
8,Gap,0.02292,0.27779232111692825,0.006366999999999996,0.12697054761904272
8,Almost Full House,0.0678,0.29363323500491684,0.01990833333333336,0.12697054761904272
8,Color Clash,0.1511,0.4544963915413981,0.06867440476190526,0.12697054761904272
8,Dead Royal,0.00616,0.7551406926406931,0.004651666666666669,0.12697054761904272
8,Perfect Misdeal,4e-05,1.0,4e-05,0.12697054761904272
9,Low Card,0.24722,0.00014382151749678653,3.555555555555557e-05,0.11026608730158767
9,Broken Pair,0.19228,0.011391869000564655,0.002190428571428572,0.11026608730158767
9,Faux Flush,0.0684,0.022938596491228074,0.0015690000000000003,0.11026608730158767
9,Mirror Hand,0.19136,0.049704993828634844,0.009511547619047564,0.11026608730158767
9,Color Disassociate,0.05548,0.16135987800551535,0.008952246031745992,0.11026608730158767
9,Gap,0.02288,0.21924048174048197,0.0050162222222222275,0.11026608730158767
9,Almost Full House,0.06746,0.2424646704219763,0.016356666666666523,0.11026608730158767
9,Color Clash,0.14922,0.4199539722961545,0.06266553174603218,0.11026608730158767
9,Dead Royal,0.00566,0.6941499803690623,0.003928888888888892,0.11026608730158767
9,Perfect Misdeal,4e-05,1.0,4e-05,0.11026608730158767
